"Query_SeqName"	"SeqLen_Query"	"Hit_SeqName"	"Hit_SeqLen"	"evalue"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"bitscore"	"qcovs"	"BitScore.Prop"
"1"	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	0	100	1469	0	0	1	1469	1	1469	2713	100	1
"2"	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	"Abudefduf_vaigiensis|NA|KU363024|NA"	1266	0	100	1266	0	0	45	1310	1	1266	2338	86	0.861776631035754
"3"	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	"Abudefduf_vaigiensis|NA|KT283603|NA"	1266	0	99.921	1266	1	0	45	1310	1	1266	2333	86	0.859933652782897
"4"	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	"Abudefduf_vaigiensis|NA|KT283602|NA"	1266	0	99.921	1266	1	0	45	1310	1	1266	2333	86	0.859933652782897
"5"	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	0	99.921	1266	1	0	45	1310	1	1266	2333	86	0.859933652782897
"126"	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	0	100	1266	0	0	1	1266	1	1266	2338	100	1
"127"	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	"Abudefduf_vaigiensis|NA|KU363024|NA"	1266	0	99.921	1266	1	0	1	1266	1	1266	2333	100	0.997861420017109
"128"	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	"Abudefduf_vaigiensis|NA|AB121234|NA"	1469	0	99.921	1266	1	0	1	1266	45	1310	2333	100	0.997861420017109
"129"	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	"Abudefduf_vaigiensis|NA|KT283603|NA"	1266	0	99.842	1266	2	0	1	1266	1	1266	2327	100	0.995295124037639
"130"	"Abudefduf_vaigiensis|NA|KT283601|NA"	1266	"Abudefduf_vaigiensis|NA|KT283602|NA"	1266	0	99.842	1266	2	0	1	1266	1	1266	2327	100	0.995295124037639
